url,title,publisher,doc_id,authors,keywords,abstract
https://www.mendeley.com/catalogue/189518ae-c7f3-3950-b1a9-472e538777eb,Effect of supply chain cultural competence on Thai SMEs performance with mediating role of supply chain technology,International Journal of Supply Chain Management (2020) 9(1) 215-224,20507399,"['Mekhum W', '']","['Performance', 'SMEs', 'Supply chain cultural capabilities', 'Supply chain technology']","Performance is a key indicator for the survival of any business. Organizational culture must have strong liaison with the goals of organizations because it has direct association with organizational performance. Therefore, the core objective of this study was to investigate the influence of supply chain cultural capabilities on the performance of Thai SMEs with the mediation role of supply chain technology adoption. To achieve the objective of this study, the data was collected from the managers of SMEs by using survey questioner approach. Smart-PLS was used to test the hypotheses and analysis of data. Findings of contemporary study highlighted that supply chain cultural capabilities have significant positive influence on the performance of SMEs in Thailand. Furthermore, results indicated that supply chain technology adoption could increase the performance of organizations. Results of this research illuminated that Adaptability and consistency in organizational cultural support in the adoption of supply chain technology and supply chain technology boost up the performance of organization. This research offer new empirical indication that supply chain cultural capabilities are significant for the performance of SMEs in developing countries like Thailand. Though, this research used only cultural capabilities, the other important capabilities of supply chain such as supply chain technological capabilities, would be used in future research."
https://www.mendeley.com/catalogue/e3b6b38f-0608-3cfb-8df6-b5bf94036104,Effect of supply chain technology internalization and e-procurement on supply chain performance,Business Process Management Journal (2019) 26(6) 1425-1442,10.1108/BPMJ-04-2019-0150,"['Pattanayak D', 'Punyatoya P', '']","['Construction industry', 'E-procurement', 'Supply chain integration', 'Supply chain performance', 'Supply chain technology internalization']","Purpose: The purpose of this paper is to examine how e-procurement (EP) and supply chain technology internalization (SCTI) influence supply chain performance (SCP) through supply chain integration (SCI). Design/methodology/approach: This research analyzed 214 survey responses from project managers who have prior experience in the field of supply chain management. Structural equation modeling was used to analyze the data. Findings: The results show that EP and SCTI positively influence SCI and SCP. The effects of EP and SCTI on SCP are found to be mediated by SCI in the context for the construction industry. Research limitations/implications: Future studies should focus on quantitative measures of SCP like budget overrun, supply chain efficiency and project success. Further research can be done through the exploration of moderating interactions of the proposed model. Practical implications: First, the study highlights the importance of SCTI. Supply chain managers should first focus on effective utilization of different technologies used to support supply chain. Second, the research gives the guidelines to the supply chain managers and project managers about the benefits of EP. They should focus on proper implementation of EP in their organizations. Originality/value: This paper contributes to the literature by proposing and testing the influences of EP and SCTI on SCI. This allows a strategic viewpoint when implementing SCTI, EP systems and SCI, intended to improve SCP."
https://www.mendeley.com/catalogue/f85f3983-fccd-3d8e-b167-86c2dcab1b37,A model to evaluate supply chain technology implementation influence on organizational performance,Transport (2018) 33(3) 779-792,10.3846/transport.2018.5468,"['Soltany Z', 'Rostamzadeh R', 'Skrickij V', '']","['IT enabled', 'Organizational performance', 'Simultaneous factor analysis', 'Structural equation model', 'Supply chain technology']","Supply Chain Management (SCM) aims to achieve organizational competitiveness. By including SCM paradigm and Information Technology (IT), companies aim to enhance their responsiveness and flexibility, and by changing their operations� strategy, they attempt to improve their competitiveness. This study focuses on the organizational variable, IT capabilities, technological structure, and possible antecedents and their impact on Supply Chain Technology (SCT) implementation. This paper proposes a model to examine the way, which SCT implementation affects IT enabled Organizational Performance (OP). The data were achieved through the questionnaires, and then they were analysed by using Smart PLS 3 program. The data collected from 118 employees in IT sector of Iran�s customs administration provide strong support to the proposed research model. The results of this research showed that SCT implementation has a mediating effect on IT enabled OP improvement. Besides, the study revealed that IT capabilities have the most and organizational variable has the least influence on implementation of SCT. Based on other organization�s situations, they can use the suggested model with a little changes."
https://www.mendeley.com/catalogue/c5045303-e187-3c49-8a56-c39d8301fd3f,Exploring the role of TQM and supply chain practices for firm supply performance in the presence of information technology capabilities and supply chain technology adoption: A case of textile firms in Pakistan,Uncertain Supply Chain Management (2016) 7(2) 275-288,10.5267/j.uscm.2018.9.001,"['Basheer M', 'Siam M', 'Awn A', 'et al.See more']","['Firm supply performance', 'Information technology capabilities', 'Supply chain management practices', 'Supply chain technology adoption', 'Total quality management practices']","The primary objective of this paper is to investigate the relationship between total quality management practices (TQMP), supply chain management practices (SCMP), information technology capabilities, supply chain technology adoption and firm supply performance. In addition, the study also tries to investigate the mediating role of information technology capabilities and supply chain technology adoption in the relationship between TQMP, SCMP, and firm supply performance. The study is carried out on a sample of textile firms of Pakistan. To achieve the research objective, Smart PLS-3 is used for the analysis of the data gathered from the textile firms of Pakistan. The results of the study show a great deal of agreement with the hypothesized results. The information technology capabilities, supply chain technology adoption both appear to play mediators between TQMP, SCMP, and firm supply performance. The results of the study will be useful for policymakers and researchers to understand the emerging role of technology in strategic management and operational management."
https://www.mendeley.com/catalogue/973c2f5a-0324-37c4-8c1c-3721a2ff1a65,Determinant Factors of Supply Chain Technology Adoption among Sabah Small and Medium Enterprises (SMEs),Malaysian Journal of Business and Economics (2019) 6,,"['Faisal S', 'Idris S', '']","['adoption', 'diffusion of innovation', 'supply chain', 'supply chain technology']","Small and Medium Enterprises (SMEs) are the key industry in Malaysia which they play an important economic and social role and often contributed to innovation to the country. However, the SMEs in Malaysia still face great challenges within their supply chain such as limited technology access, low productivity, and poor managerial capabilities. Sabah SMEs has low production levels and had to slow down the development of products and services. It will continue affecting the overall operation of Sabah SMEs. As Sabah SMEs have the biggest contribution to Sabah’s development and provide many job opportunities, thus, it is needed for this study to identify determinant factors that influence the adoption of supply chain technology within Sabah SMEs such as perceived usefulness, complexity, compatibility and top management support. This study use diffusion of innovation (DoI) theory as underpinning theory to explain the adoption of supply chain technology according to the aspects of innovation attributes and organizational factor. This study employs a quantitative approach through a survey questionnaire distributed purposefully to Sabah SMEs in all sectors (manufacturing, services, and agriculture). The respondents’ data obtained will be analysed through Statistical Package for Social Sciences (SPSS) for descriptive analysis while statistical data will be analysed through Structural Equation Modelling (SEM) via Partial Least Squares (PLS). The outcome is to examine the relationship between the variables and the extent to which the relationship between the variables was related to each other. Hence, this finding may help the SMEs entrepreneur, researchers, and policy-makers to realize and make a refinement on supply chain technology adoption among Sabah SMEs."
https://www.mendeley.com/catalogue/9225d55b-8562-3347-b3b5-21e532dbcf82,Supply chain technology utilization in Malaysia construction industry,Jurnal Teknologi (2015) 77(4) 69-75,10.11113/jt.v77.6044,"['Udin Z', 'Othman A', 'Ahmad A', '']","['Construction', 'Malaysia', 'Rasch method', 'Supply chain management', 'Supply chain technology']","Supply Chain Technology (SCT) utilization becomes a phenomenon in the construction industry nowadays. The uses of these technologies have shown an improvement in construction business process particularly in planning and designing processes. These improvements significantly affect the performance of Supply Chain Management (SCM) in construction industry. The construction industry is critical for national wealth creation particularly in the developing countries such Malaysia. However, about five percent of construction projects were not able to be completed due to various reasons. Therefore, there is a great interest to find out the level of utilization of SCT within the construction industry, which is believed as a main driver to improve the SCM performance and directly reflect to the construction project performance. The objective of this paper is to identify and highlight the issues and problems associated with the current SCM practices, particularly in the technology utilization among the major players in the Malaysian construction industry. To be more specifically, the type of application system that is being utilized in the Malaysian construction supply chain process will be identified."
https://www.mendeley.com/catalogue/6bb03d56-9e54-3e2a-8b60-d02758aa7307,The potential moderating role of supply chain capabilities on the relationship between supply chain technology and concurrent engineering in product design,International Journal of Supply Chain Management (2014) 3(2) 132-139,20507399,"['Singhry H', 'Rahman A', 'Imm N', '']","['Advanced manufacturing technology', 'Concurrent engineering', 'Information technology', 'Product design', 'Supply chain capabilities', 'Supply chain technology']","Today's business and competitive environment challenge firms to adopt new technologies, processes, and competences. Firms with strong technological capabilities generate more value from technology investment and achieve higher order of collaborative gains in product design. The aim of this paper is to improve the conceptual framework of the determinant of product design in supply chain management. Through an intensive literature review, the paper develops a conceptual model of the relationships between supply chain technology, capabilities, and concurrent engineering in new product design. The study has practical implications to managers and practitioners in supply chain management. The study also contributes to existing literature and theory of product design and development."
https://www.mendeley.com/catalogue/d83c4a2d-4657-3ad3-8696-0e28eaa03b19,Blockchain technology and its relationships to sustainable supply chain management,International Journal of Production Research (2019) 57(7) 2117-2135,10.1080/00207543.2018.1533261,"['Saberi S', 'Kouhizadeh M', 'Sarkis J', 'et al.See more']","['barriers', 'blockchain technology', 'research agenda', 'supply chain management', 'sustainability']","Globalisation of supply chains makes their management and control more difficult. Blockchain technology, as a distributed digital ledger technology which ensures transparency, traceability, and security, is showing promise for easing some global supply chain management problems. In this paper, blockchain technology and smart contracts are critically examined with potential application to supply chain management. Local and global government, community, and consumer pressures to meet sustainability goals prompt us to further investigate how blockchain can address and aid supply chain sustainability. Part of this critical examination is how blockchains, a potentially disruptive technology that is early in its evolution, can overcome many potential barriers. Four blockchain technology adoption barriers categories are introduced; inter-organisational, intra-organisational, technical, and external barriers. True blockchain-led transformation of business and supply chain is still in progress and in its early stages; we propose future research propositions and directions that can provide insights into overcoming barriers and adoption of blockchain technology for supply chain management."
https://www.mendeley.com/catalogue/bb78589e-3674-38ab-953e-abf94500b7d0,"Tortoise, not the hare: Digital transformation of supply chain business processes",Business Horizons (2019) 62(6) 707-715,10.1016/j.bushor.2019.07.006,"['Hartley J', 'Sawaya W', '']","['Blockchain', 'Digital transformation', 'Enterprise resource planning', 'Machine learning', 'Robotic process automation', 'Supply chain technology']","With the rapid development of digital technologies, many supply chain professionals are wondering how to move forward. Three technologies are poised to change supply chain business processes: robotic process automation (RPA), artificial intelligence (AI)/machine learning (ML) and blockchain. Based on interviews with supply chain professionals in 14 large, mature manufacturing and service organizations, we outline the promise of each technology and forecast their broad-scale adoption potential. Organizations should take the following measures to ensure their readiness to adopt and effectively use one or more of these technologies: (1) identify a supply chain technology visionary who can lead through the maze of technologies and the changing digital landscape, (2) develop a digital technology roadmap for their supply chain processes, and (3) update foundational information systems."
https://www.mendeley.com/catalogue/aa50dc72-4f08-3f0d-bfe1-88bc456274b6,The effects of technological turbulence and breadth on supply chain technology acceptance and adoption,Journal of Operations Management (2010) 28(6) 522-536,10.1016/j.jom.2010.03.001,"['Autry C', 'Grawe S', 'Daugherty P', 'et al.See more']","['', '', '']","The current empirical study examines the intention to use and subsequent implementation of a supply chain technology. Specifically, the authors extend the technology acceptance model (TAM) to incorporate the state of the technology environment (technological turbulence) and the extent to which other supply chain technologies have already been adopted by the firm (technological breadth). A series of seemingly unrelated regressions (SUR) were used to analyze survey data from 195 respondents. The results show that in technologically turbulent environments, the relationships between the firm's perceived usefulness and ease of use and the firm's intention to use a supply chain technology are stronger. The study also finds that the relationship between the firm's intention to use a supply chain technology and the implementation of the technology is weaker in firms with greater technological breadth. � 2010 Elsevier B.V. All rights reserved."
